ProviderID,Name,SiteURL
397,Tripe Dice Exchange,https://mydicewallet.com
398,Troca Ninja,https://troca.ninja
399,TRX.market,https://trx.market
400,Turtle Decentralized Exchange,https://turtlenetwork.blackturtle.eu
401,TURUKO,https://www.turuko.com
402,Tux Exchange,https://tuxexchange.com
403,Txbit,https://txbit.io
404,Ubit,https://ubit.pw
405,UEX,https://www.uex.com
406,UniDAX,https://www.unidax.com
407,UPbit,https://upbit.com
408,UrduBit,https://urdubit.com
409,VaultMex,https://vaultmex.com
410,VBTC,https://vbtc.exchange
411,Vebitcoin,https://vebitcoin.com
412,VinDAX,https://vindax.com
413,Vinex,https://vinex.network
414,VINEX Network,https://vinex.network
415,VirWoX,https://virwox.com
416,VitBlock,https://www.vitblock.com
417,Wadax,https://wadax.io
418,Waves Decentralized Exchange,http://www.wavesplatform.com
419,WazirX,https://wazirx.com
420,WBFEX,http://www.wbfex.com
421,WeiDex,https://weidex.market
422,WEX,https://wex.nz
423,xBase,https://xbase.exchange
424,xBTCe,https://xbtce.com
425,XBTS,https://xbts.io
426,Xena Exchange,https://xena.exchange
427,XS2,https://xs2.exchange
428,YoBit,https://yobit.net
429,Zaif,https://zaif.jp
430,ZB.com,https://zb.com
431,ZBG,https://www.zbg.com
432,ZEBITEX,https://zebitex.com
433,Zebpay,https://zebpay.com
434,ZG.top,https://zgtop.io
435,Zolex,https://zolex.org
